Date,Time,Open,High,Low,Close,Volume
2021.04.29,04:00,15323.7,15355.2,15315.8,15335.0,2273
2021.04.29,08:00,15335.3,15356.8,15261.3,15285.3,42834
2021.04.29,12:00,15285.3,15286.3,15222.3,15248.0,30639
2021.04.29,16:00,15247.5,15261.0,15104.0,15167.9,73656
2021.04.29,20:00,15167.5,15223.7,15157.5,15213.9,14125
2021.04.30,00:00,15191.0,15204.0,15179.0,15195.3,775
2021.04.30,04:00,15194.3,15198.0,15152.0,15160.8,2999
2021.04.30,08:00,15162.1,15258.5,15141.3,15235.0,32676
2021.04.30,12:00,15235.0,15256.0,15162.3,15231.0,36040
2021.04.30,16:00,15231.0,15265.0,15152.5,15165.0,55651
2021.04.30,20:00,15165.4,15175.7,15115.5,15152.7,19357
2021.05.03,00:00,15198.0,15228.7,15198.0,15226.8,775
2021.05.03,04:00,15227.4,15229.0,15176.7,15207.3,2715
2021.05.03,08:00,15207.3,15290.0,15174.8,15229.0,26242
2021.05.03,12:00,15228.5,15288.3,15127.0,15248.0,35491
2021.05.03,16:00,15248.0,15270.7,15226.0,15258.5,49016
2021.05.03,20:00,15259.4,15280.7,15256.5,15276.7,11110
2021.05.04,00:00,15248.8,15260.7,15238.7,15244.0,464
2021.05.04,04:00,15244.3,15245.0,15213.7,15226.0,2212
2021.05.04,08:00,15226.7,15282.3,15141.0,15168.0,44906
2021.05.04,12:00,15167.5,15242.3,14998.3,15016.0,83597
2021.05.04,16:00,15015.5,15065.0,14843.8,14874.1,132285
2021.05.04,20:00,14873.2,14929.9,14866.7,14922.7,18395
2021.05.05,00:00,14936.9,14983.4,14933.5,14965.1,820
2021.05.05,04:00,14965.0,14991.3,14959.9,14977.5,1953
2021.05.05,08:00,14977.0,15094.2,14940.2,15070.2,48204
2021.05.05,12:00,15070.2,15118.2,15057.2,15113.5,31816
2021.05.05,16:00,15113.9,15206.1,15098.5,15182.2,66614
2021.05.05,20:00,15182.1,15197.9,15151.0,15184.2,14068
2021.05.06,00:00,15187.7,15201.2,15171.2,15193.5,854
2021.05.06,04:00,15194.0,15211.2,15161.7,15164.2,4661
2021.05.06,08:00,15163.9,15294.2,15163.9,15212.5,50321
2021.05.06,12:00,15212.5,15231.5,15122.5,15165.2,59570
2021.05.06,16:00,15164.7,15242.5,15102.8,15225.5,89156
2021.05.06,20:00,15224.8,15274.7,15204.6,15272.3,21290
2021.05.07,00:00,15251.3,15277.5,15240.8,15277.5,779
2021.05.07,04:00,15278.0,15298.5,15264.3,15277.8,2761
2021.05.07,08:00,15275.8,15374.1,15272.5,15357.1,39986
2021.05.07,12:00,15357.1,15415.8,15326.8,15360.3,40071
2021.05.07,16:00,15360.6,15426.5,15321.1,15414.5,55221
2021.05.07,20:00,15414.3,15421.7,15391.8,15415.6,14913
2021.05.10,00:00,15455.8,15464.0,15446.3,15457.5,872
2021.05.10,04:00,15456.6,15476.1,15430.6,15432.1,2927
2021.05.10,08:00,15432.1,15447.5,15366.1,15370.1,34565
2021.05.10,12:00,15370.1,15402.1,15354.3,15378.1,24027
2021.05.10,16:00,15378.1,15420.8,15366.1,15398.6,74844
2021.05.10,20:00,15399.5,15401.0,15315.9,15326.1,23068
2021.05.11,00:00,15320.1,15321.1,15218.8,15224.8,2635
2021.05.11,04:00,15225.3,15258.9,15198.8,15204.1,6167
2021.05.11,08:00,15204.8,15274.1,15069.4,15078.1,82163
2021.05.11,12:00,15078.1,15122.1,15011.6,15035.4,68184
2021.05.11,16:00,15036.1,15168.6,15016.1,15095.0,142107
2021.05.11,20:00,15094.6,15154.0,15090.9,15127.9,24042
2021.05.12,00:00,15136.4,15166.5,15046.8,15060.8,2315
2021.05.12,04:00,15061.8,15094.1,15002.9,15035.4,8159
2021.05.12,08:00,15035.9,15194.1,15034.4,15134.5,56322
2021.05.12,12:00,15134.5,15197.5,15060.3,15163.8,75018
2021.05.12,16:00,15164.7,15232.8,15082.0,15115.4,127595
2021.05.12,20:00,15114.5,15136.2,15065.5,15097.0,36669
2021.05.13,00:00,15101.5,15126.5,15078.5,15109.5,2511
2021.05.13,04:00,15109.8,15131.7,15087.7,15092.8,8644
2021.05.13,08:00,15093.3,15098.5,14814.5,14873.5,79123
2021.05.13,12:00,14873.5,15097.5,14872.8,15089.8,92726
2021.05.13,16:00,15090.2,15240.5,15089.8,15204.5,108742
2021.05.13,20:00,15204.9,15271.4,15164.0,15244.0,34975
2021.05.14,00:00,15268.5,15276.7,15235.3,15266.5,1988
2021.05.14,04:00,15266.8,15306.5,15232.0,15290.8,6344
2021.05.14,08:00,15291.3,15321.5,15215.8,15257.5,44010
2021.05.14,12:00,15257.0,15331.5,15256.5,15324.8,36872
2021.05.14,16:00,15324.8,15426.4,15321.5,15417.6,59210
2021.05.14,20:00,15417.2,15464.4,15407.2,15461.7,18030
2021.05.17,00:00,15462.0,15462.0,15395.7,15409.7,2864
