Datetime,Open,High,Low,Close,Adj Close,Volume
2023-02-16 09:00:00+01:00,15612.4296875,15618.8095703125,15604.58984375,15608.509765625,15608.509765625,0
2023-02-16 09:05:00+01:00,15608.6103515625,15611.419921875,15597.7900390625,15603.849609375,15603.849609375,0
2023-02-16 09:10:00+01:00,15604.1396484375,15627.900390625,15600.3203125,15627.900390625,15627.900390625,0
2023-02-16 09:15:00+01:00,15627.73046875,15634.0400390625,15614.98046875,15615.2900390625,15615.2900390625,0
2023-02-16 09:20:00+01:00,15614.740234375,15614.8798828125,15594.2900390625,15594.2900390625,15594.2900390625,0
2023-02-16 09:25:00+01:00,15594.2900390625,15594.490234375,15587.4404296875,15590.599609375,15590.599609375,0
2023-02-16 09:30:00+01:00,15590.8798828125,15591.8701171875,15575.2998046875,15583.01953125,15583.01953125,0
2023-02-16 09:35:00+01:00,15582.8798828125,15586.349609375,15578.41015625,15580.41015625,15580.41015625,0
2023-02-16 09:40:00+01:00,15580.4296875,15584.8203125,15575.669921875,15577.009765625,15577.009765625,0
2023-02-16 09:45:00+01:00,15577.009765625,15578.8798828125,15572.9296875,15572.98046875,15572.98046875,0
2023-02-16 09:50:00+01:00,15572.9296875,15576.0595703125,15572.0302734375,15575.1103515625,15575.1103515625,0
2023-02-16 09:55:00+01:00,15574.9501953125,15575.6396484375,15562.990234375,15564.26953125,15564.26953125,0
2023-02-16 10:00:00+01:00,15564.3896484375,15575.4697265625,15560.349609375,15575.4697265625,15575.4697265625,0
2023-02-16 10:05:00+01:00,15574.7197265625,15574.8203125,15559.6396484375,15566.1796875,15566.1796875,0
2023-02-16 10:10:00+01:00,15566.1796875,15578.8203125,15565.669921875,15578.8203125,15578.8203125,0
2023-02-16 10:15:00+01:00,15578.8203125,15589.5703125,15578.8203125,15586.759765625,15586.759765625,0
2023-02-16 10:20:00+01:00,15586.7998046875,15591.490234375,15583.16015625,15584.2998046875,15584.2998046875,0
2023-02-16 10:25:00+01:00,15584.3203125,15589.01953125,15583.2802734375,15588.2001953125,15588.2001953125,0
2023-02-16 10:30:00+01:00,15588.2001953125,15591.2197265625,15585.150390625,15585.509765625,15585.509765625,0
2023-02-16 10:35:00+01:00,15585.2900390625,15592.25,15584.76953125,15585.33984375,15585.33984375,0
2023-02-16 10:40:00+01:00,15584.8203125,15584.8203125,15575.4599609375,15578.259765625,15578.259765625,0
2023-02-16 10:45:00+01:00,15578.259765625,15581.4697265625,15574.16015625,15581.4697265625,15581.4697265625,0
2023-02-16 10:50:00+01:00,15581.6298828125,15583.169921875,15572.7998046875,15582.3896484375,15582.3896484375,0
